0.0000__2.2574, 18.5216__3.9361, 30.7579__9.8389, 21.2669__2.5526, 31.9398__11.0078, 31.2770__9.6637, 31.8654__14.4905, 30.4077__8.7877, 31.3983__15.9065, 29.4615__16.1546, 31.7307__22.0288, 30.4990__9.3831, 31.3976__9.8911, 31.5043__16.7159, 29.9409__7.3591, 31.4241__4.8369, 30.3254__9.2357, 31.9914__10.7968, 29.0628__10.2095, 30.4429__9.6044, 30.6329__9.9805, 31.9864__12.7274, 30.1886__9.0688, 27.6213__6.5093, 30.9690__9.8531, 1.7704__2.6456, 30.1775__8.7487, 27.6010__6.4263, 31.0857__12.7406, 31.7743__21.3273, 31.7015__9.4912, 30.9937__9.7722, 32.0000__31.9933, 
0.0000__2.5601, 20.4892__5.3796, 20.8901__6.7847, 30.1084__9.1639, 31.9984__27.7088, 31.9150__17.6560, 30.9944__10.9233, 31.9501__11.7888, 31.5805__11.1867, 31.9893__27.5474, 31.1576__9.8789, 29.8689__8.3864, 28.2672__6.9273, 30.1971__9.2254, 30.3731__9.1930, 31.9055__12.2155, 31.0420__9.6816, 30.2476__9.4473, 28.1471__17.9769, 31.8152__14.1228, 31.3535__13.4378, 31.9220__12.3683, 31.7943__14.1127, 30.1313__9.4876, 31.7878__18.4669, 30.5518__9.0646, 31.6050__9.7259, 31.0122__14.4674, 29.3431__9.6537, 31.8892__17.0488, 30.9949__10.8693, 31.9941__11.1721, 32.0000__31.7916, 
0.0000__2.4526, 23.3933__3.5199, 28.4344__8.9252, 29.7848__8.8640, 30.3416__14.0598, 31.7063__10.1332, 31.6495__9.8179, 31.8869__11.1824, 25.6525__4.0081, 31.9372__13.8422, 29.4201__8.7179, 31.8215__29.5008, 31.7775__13.3113, 30.5884__9.4500, 31.2647__4.6587, 31.4241__10.9979, 31.7502__9.9853, 31.9592__11.6516, 31.5184__12.9539, 31.6729__9.8691, 31.9068__10.2505, 29.9280__10.6147, 30.4691__9.3371, 30.9489__9.5608, 29.3606__9.1909, 31.8463__10.1446, 30.3815__9.3918, 31.8836__10.1280, 31.3583__11.9931, 28.5265__9.8682, 31.6461__10.0162, 31.9762__11.1566, 32.0000__31.9920, 
0.0000__1.6832, 8.9625__2.8730, 22.2799__6.7614, 27.7619__7.6399, 30.2144__9.3121, 25.5951__6.1186, 29.7680__9.2267, 31.9018__10.4799, 31.8884__15.7933, 30.8171__7.5441, 31.9957__12.6375, 30.5865__9.2551, 31.4303__9.1352, 31.6810__11.8652, 31.9812__14.7203, 31.6622__12.0244, 26.7722__6.4768, 30.3800__9.4959, 31.8626__12.1388, 30.2175__9.3873, 31.9281__10.1366, 31.8228__9.9999, 30.3825__9.1479, 31.1032__9.5515, 25.7672__15.3085, 30.9309__12.8755, 31.9098__10.7930, 31.8459__9.6678, 31.9033__20.9960, 31.8424__20.0572, 31.8973__14.2382, 31.5474__13.8954, 32.0000__31.8245, 
0.0000__2.0931, 9.7654__3.4269, 30.4379__9.5771, 29.8924__8.9857, 31.8809__12.0551, 31.5093__10.8480, 30.9011__9.4166, 31.9094__29.2097, 29.7685__9.6877, 31.9871__10.2389, 31.9964__13.0078, 31.7778__9.9198, 30.8910__8.9333, 30.4142__15.9664, 14.2319__5.3638, 31.8850__10.7044, 31.8153__9.5036, 30.2504__8.4379, 31.5173__9.9849, 23.5207__13.4143, 30.4658__9.2928, 29.6174__8.8605, 31.9961__12.1604, 31.9370__19.9402, 30.2081__9.1334, 31.9320__11.2755, 31.9695__10.8803, 31.9256__10.2368, 31.9612__12.1861, 24.1990__18.0243, 31.9776__10.9401, 31.8478__10.5291, 32.0000__31.9740, 
0.0000__2.6149, 23.3751__6.9348, 16.6604__2.7006, 29.9262__9.2722, 31.4412__12.7091, 31.7637__10.1152, 29.4991__12.1845, 28.9586__7.7801, 31.9236__19.8036, 28.9937__8.2025, 29.5994__8.8393, 31.9466__10.8988, 31.3788__8.7285, 29.6205__8.3285, 31.1638__9.4744, 31.0511__9.6638, 29.7667__9.9195, 30.6711__8.0643, 31.9379__13.9628, 30.6348__9.3055, 31.5836__12.8963, 30.7204__9.7703, 28.6268__7.4822, 31.5021__10.0652, 31.2580__15.5312, 31.6758__11.3750, 31.9239__10.3171, 31.7316__15.0080, 31.9236__15.4870, 31.9046__10.0842, 31.8774__11.9229, 31.8120__11.4989, 32.0000__11.4891, 
0.0000__2.6170, 2.9670__2.3705, 5.2273__31.9993, 23.6588__6.0115, 26.6209__11.0880, 29.5215__8.4532, 31.3200__12.7864, 31.8801__11.8478, 30.4517__9.7269, 31.5656__11.0859, 29.4812__6.6732, 29.9023__8.2804, 29.8437__8.6138, 30.7833__9.6354, 29.6879__9.3642, 31.2230__8.7470, 30.8348__9.3951, 30.3372__14.4193, 29.8021__14.0524, 31.9674__10.1338, 31.8426__5.3419, 31.5152__21.2499, 30.1313__9.1256, 30.7397__11.1600, 0.0575__31.9876, 31.9555__24.5515, 29.9230__8.2696, 29.9062__9.3589, 30.6608__9.2798, 31.2494__9.4513, 31.7603__9.6345, 31.3814__9.8867, 32.0000__9.7818, 
0.0000__2.1812, 29.2646__7.6525, 28.5939__9.0280, 26.8058__5.2919, 29.7951__8.9921, 31.7781__13.0304, 29.7732__9.1965, 31.6615__11.0518, 15.7588__3.1739, 30.7041__9.7772, 31.9956__29.8495, 29.9247__9.0298, 31.4724__10.5010, 31.6053__10.0206, 21.7686__1.8669, 31.1808__11.3982, 30.3816__9.3125, 7.1115__1.1864, 30.1620__8.7865, 30.4103__10.4245, 31.8304__10.1874, 31.9375__10.7114, 31.4502__10.2286, 31.8733__9.6479, 31.7084__2.3766, 31.9964__14.2218, 31.2227__3.7477, 31.9691__10.8483, 29.6710__8.6324, 29.9945__9.3532, 31.9371__12.8538, 31.0001__17.9396, 32.0000__11.4689, 
0.0000__2.1792, 14.0384__3.7715, 25.6127__7.6407, 29.5965__9.0207, 29.9002__8.6102, 30.6186__9.5312, 29.8659__9.0522, 30.6297__9.8929, 30.0136__9.3223, 1.0211__26.2801, 29.9746__8.4778, 31.9355__10.3603, 30.0991__8.2481, 12.7341__3.0559, 31.8627__10.1652, 31.8762__10.0989, 31.7364__6.7595, 31.9266__11.0380, 31.8626__13.1469, 30.4172__13.6312, 29.8784__8.7697, 31.8717__17.6364, 31.9132__11.9765, 30.0257__9.3256, 31.9133__10.9377, 31.5493__9.1084, 25.2229__5.5915, 30.9271__6.8021, 28.7717__10.5743, 31.3275__7.2204, 29.9972__10.0982, 30.5215__13.3877, 32.0000__7.5003, 
0.0000__2.1513, 14.3962__2.5703, 16.9963__2.8059, 20.0424__3.3370, 22.7238__1.3877, 28.9240__8.1532, 29.6137__7.7900, 29.3950__8.0510, 28.1601__0.3883, 29.5747__8.2335, 30.7178__10.0241, 30.0678__9.2948, 24.9998__3.3094, 30.0587__8.7542, 29.4531__7.5369, 29.7987__9.2824, 30.4926__8.6069, 28.0037__2.5652, 15.3786__25.2246, 31.0900__11.8878, 31.1207__11.0259, 28.9991__7.4654, 31.0891__11.1553, 28.1876__7.0206, 29.6380__9.0165, 30.7664__9.7259, 30.0962__9.2653, 30.1874__9.0929, 30.5673__9.8008, 31.3718__9.6097, 30.7919__7.0841, 31.4994__9.7143, 32.0000__8.7680, 
0.0000__1.8877, 5.4403__1.8801, 13.7018__1.8143, 17.5943__1.9014, 27.3651__4.3137, 28.1403__6.2534, 24.6686__1.6438, 29.9556__8.9845, 29.0479__7.5594, 30.4658__11.7359, 25.8706__6.3303, 30.3063__9.5395, 29.6970__8.5205, 17.8534__0.7648, 23.6331__4.5345, 30.1178__9.2060, 25.0090__7.2868, 28.5493__6.9359, 28.3677__7.0992, 29.7128__11.1314, 29.2730__7.5152, 29.0729__7.7696, 29.5600__8.4283, 30.8944__8.3130, 28.2140__6.0292, 30.7070__9.6431, 29.8564__2.1251, 26.7791__4.5082, 29.0322__7.5652, 29.8384__8.4037, 29.9560__5.4970, 30.8899__3.0999, 32.0000__7.1017, 
0.0000__6.7087, 0.0637__5.4518, 11.3502__0.8273, 11.8670__0.6921, 30.3785__0.1185, 23.9912__0.0197, 24.8365__1.5402, 28.8142__6.3878, 29.7807__9.0614, 23.9638__3.1553, 29.6543__8.8503, 30.4109__9.2846, 25.0466__0.0934, 24.4208__0.0415, 24.1424__0.0465, 29.0734__2.0563, 27.6085__2.6769, 30.1928__9.3853, 30.4890__8.8021, 24.0522__0.4581, 27.1448__0.2946, 28.2621__6.0664, 26.0225__0.4306, 28.7836__7.0370, 27.4476__0.1548, 29.1230__0.7214, 27.5141__2.6438, 29.0437__0.0443, 25.5511__2.2499, 28.7342__6.8639, 29.5490__7.2103, 31.5939__1.9055, 32.0000__0.7111, 
0.0000__0.0000, 7.2712__0.0000, 10.6939__0.0000, 11.8334__0.0000, 29.4008__0.0000, 27.9959__0.0000, 26.3315__0.0000, 21.3818__0.0000, 21.8376__0.0000, 28.3629__0.0000, 25.7511__0.0000, 21.7330__0.0000, 24.8470__0.0000, 29.0126__0.0000, 27.6874__0.0000, 27.3587__0.0000, 21.9113__0.0000, 24.7817__0.0000, 27.8714__0.0000, 27.4869__0.0000, 25.6987__0.0000, 30.0042__0.0000, 26.0509__0.0000, 26.8550__0.0000, 27.4157__0.0000, 25.7532__0.0000, 26.0293__0.0000, 26.5062__0.0000, 26.5369__0.0000, 28.8628__0.0000, 30.0900__0.0000, 32.0000__0.0000, 32.0000__0.0000
